source,target,weight
223,30,1876.1726078799247
238,30,5025.125628140703
115,31,68306.01092896174
391,31,7225.43352601156
396,31,7429.420505200595
374,32,13487.99568384138
375,32,9813.542688910697
378,32,8305.647840531561
379,32,20263.424518743668
380,32,14265.335235378032
34,33,3224.766204450177
104,33,6317.119393556538
105,33,3124.9999999999995
16,34,2159.3608291945584
33,34,3224.766204450177
104,34,28760.425654299685
106,34,6422.607578676943
15,35,6644.518272425249
40,35,1311.4754098360654
42,35,11694.53865045024
38,36,2897.7108084613155
47,36,14994.7518368571
89,36,6226.650062266501
48,37,2256.317689530686
80,37,2011.667672500503
405,37,8756.567425569177
36,38,2897.7108084613155
39,38,18515.08979818552
46,38,2383.7902264600716
20,39,2715.9152634437805
38,39,18515.08979818552
43,39,4391.743522178304
35,40,1311.4754098360654
41,40,4273.504273504273
56,40,3996.802557953637
12,41,3916.960438699569
40,41,4273.504273504273
56,41,1471.0208884966166
35,42,11694.53865045024
44,42,2976.190476190476
97,42,1280.0819252432154
39,43,4391.743522178304
46,43,13352.917612498331
138,43,5611.672278338945
17,44,1737.0158068438425
42,44,2976.190476190476
45,44,4653.327128897162
44,45,4653.327128897162
54,45,1881.1136192626034
158,45,2943.773918163085
38,46,2383.7902264600716
43,46,13352.917612498331
138,46,8382.229673093043
19,47,2050.020500205002
36,47,14994.7518368571
52,47,3474.6351633078525
20,48,5055.611729019211
37,48,2256.317689530686
410,48,72254.33526011561
11,49,10324.179227751394
50,49,13303.179459890915
158,49,4568.296025582457
11,50,13987.970345502868
49,50,13303.179459890915
51,50,23674.242424242424
11,51,9765.625
50,51,23674.242424242424
53,51,19462.82600233554
47,52,3474.6351633078525
55,52,1929.3845263360988
239,52,4655.493482309125
11,53,8779.63125548727
51,53,19462.82600233554
118,53,3185.727938834024
11,54,3629.7640653357535
17,54,8410.428931875525
45,54,1881.1136192626034
19,55,12125.621438098702
52,55,1929.3845263360988
57,55,1415.8289678606825
40,56,3996.802557953637
41,56,1471.0208884966166
58,56,5589.714924538848
55,57,1415.8289678606825
178,57,10511.931041732365
180,57,12789.35925310142
12,58,621.5040397762585
56,58,5589.714924538848
59,58,11876.484560570072
13,59,5138.746145940391
58,59,11876.484560570072
62,59,11299.435028248588
61,60,10704.345964461572
64,60,5324.813631522897
180,60,11407.711613050422
19,61,2678.810608090008
60,61,10704.345964461572
65,61,4837.929366231253
13,62,7358.351729212656
59,62,11299.435028248588
120,62,788.6435331230284
64,63,5186.721991701245
178,63,5167.958656330749
192,63,8460.236886632825
60,64,5324.813631522897
63,64,5186.721991701245
65,64,12390.038409119068
61,65,4837.929366231253
64,65,12390.038409119068
66,65,14598.540145985402
65,66,14598.540145985402
71,66,9775.171065493645
190,66,8733.624454148472
14,67,1206.8549360366885
68,67,1794.6877243359656
87,67,640.6149903907751
67,68,1794.6877243359656
69,68,8006.405124099279
76,68,5167.958656330749
68,69,8006.405124099279
70,69,9871.668311944719
83,69,4928.536224741252
69,70,9871.668311944719
72,70,2117.2983273343216
73,70,1637.1971185330715
66,71,9775.171065493645
192,71,6779.661016949152
194,71,4440.497335701599
70,72,2117.2983273343216
73,72,8547.008547008547
120,72,1736.714136853074
70,73,1637.1971185330715
72,73,8547.008547008547
74,73,7168.458781362007
73,74,7168.458781362007
75,74,4892.367906066536
85,74,1649.620587264929
74,75,4892.367906066536
76,75,15540.015540015538
85,75,2671.653753673524
68,76,5167.958656330749
75,76,15540.015540015538
78,76,499.2511233150275
19,77,4506.534474988734
190,77,13517.166801838333
194,77,1443.4180138568129
12,78,338.7533875338753
76,78,499.2511233150275
81,78,412.7115146512588
80,79,4158.004158004158
89,79,2909.514111143439
239,79,5364.806866952789
37,80,2011.667672500503
79,80,4158.004158004158
380,80,972.7626459143968
14,81,428.0821917808219
78,81,412.7115146512588
95,81,2079.434393844874
399,82,5422.993492407809
400,82,45516.613563950836
404,82,4113.533525298231
13,83,5282.620179609086
69,83,4928.536224741252
86,83,5260.389268805891
87,83,2799.552071668533
12,84,1161.0356437942646
85,84,11488.970588235296
120,84,1341.741580571582
74,85,1649.620587264929
75,85,2671.653753673524
84,85,11488.970588235296
13,86,4666.355576294914
83,86,5260.389268805891
87,86,3585.5145213338114
67,87,640.6149903907751
83,87,2799.552071668533
86,87,3585.5145213338114
27,88,12904.89095367144
90,88,5452.562704471101
312,88,12040.939193257074
36,89,6226.650062266501
79,89,2909.514111143439
239,89,26824.034334763946
88,90,5452.562704471101
91,90,23646.252069047056
382,90,8635.578583765113
90,91,23646.252069047056
383,91,15225.334957369063
385,91,35198.873636043645
14,92,100.50251256281406
93,92,182.9826166514181
94,92,1809.9547511312217
92,93,182.9826166514181
94,93,918.2736455463729
95,93,1502.1781583295779
92,94,1809.9547511312217
93,94,918.2736455463729
95,94,769.2307692307693
81,95,2079.434393844874
93,95,1502.1781583295779
94,95,769.2307692307693
17,96,10932.546190007652
97,96,7513.1480090157775
109,96,957.8544061302682
16,97,2871.0881424059717
42,97,1280.0819252432154
96,97,7513.1480090157775
99,98,9699.321047526673
307,98,5724.098454493417
311,98,2805.8361391694725
98,99,9699.321047526673
100,99,22983.222247759135
308,99,19342.35976789168
99,100,22983.222247759135
308,100,16297.262059973926
309,100,9718.172983479106
102,101,32883.91976323578
296,101,10414.496979795875
298,101,14232.849416453175
101,102,32883.91976323578
299,102,16992.35344095157
315,102,13736.263736263738
353,103,6071.645415907711
355,103,7412.898443291327
367,103,3314.5508783559826
33,104,6317.119393556538
34,104,28760.425654299685
116,104,5991.611743559018
33,105,3124.9999999999995
108,105,20768.431983385257
116,105,7194.244604316547
34,106,6422.607578676943
107,106,3916.960438699569
116,106,12269.938650306749
